id,pid,name,oj
1,0,AOAPC II: Beginning Algorithm Contests (Second Edition),nil
2,1,Chapter 3. Arrays and Strings,nil
3,2,Examples,nil
4,3,Code,nil
5,4,272,uva
6,4,10082,uva
7,4,401,uva
8,4,340,uva
9,4,1583,uva
10,4,1584,uva
11,2,Exercises,nil
12,11,1585,uva
13,11,1586,uva
14,11,1225,uva
15,11,455,uva
16,11,227,uva
17,11,232,uva
18,11,1368,uva
19,11,202,uva
20,11,10340,uva
21,11,1587,uva
22,11,1588,uva
23,11,11809,uva
24,1,Chapter 4. Functions and Recursion,nil
25,24,Examples,nil
26,25,Code,nil
27,26,489,uva
28,26,133,uva
29,26,213,uva
30,26,512,uva
31,26,12412,uva
32,25,Analysis,nil
33,32,1339,uva
34,24,Exercises,nil
35,34,1589,uva
36,34,201,uva
37,34,220,uva
38,34,253,uva
39,34,1590,uva
40,34,508,uva
41,34,509,uva
42,34,12108,uva
43,34,1591,uva
44,34,815,uva
45,1,Chapter 5. C++ and STL,nil
46,45,Examples,nil
47,46,Code,nil
48,47,10474,uva
49,47,101,uva
50,47,10815,uva
51,47,156,uva
52,47,12096,uva
53,47,540,uva
54,47,136,uva
55,47,400,uva
56,47,814,uva
57,47,221,uva
58,46,Analysis,nil
59,58,1592,uva
60,58,207,uva
61,45,Exercises,nil
62,61,1593,uva
63,61,1594,uva
64,61,10935,uva
65,61,10763,uva
66,61,10391,uva
67,61,1595,uva
68,61,12100,uva
69,61,230,uva
70,61,1596,uva
71,61,1597,uva
72,61,12504,uva
73,61,511,uva
74,61,822,uva
75,61,1598,uva
76,61,12333,uva
77,61,212,uva
78,1,Chapter 6. Data Structures,nil
79,78,Examples,nil
80,79,Code,nil
81,80,514,uva
82,80,442,uva
83,80,11988,uva
84,80,12657,uva
85,80,679,uva
86,80,122,uva
87,80,548,uva
88,80,839,uva
89,80,699,uva
90,80,297,uva
91,80,572,uva
92,80,816,uva
93,80,10305,uva
94,80,10562,uva
95,80,506,uva
96,79,Analysis,nil
97,96,210,uva
98,96,1103,uva
99,96,10129,uva
100,96,12171,uva
101,96,1572,uva
102,96,1599,uva
103,96,11853,uva
104,78,Exercises,nil
105,104,673,uva
106,104,712,uva
107,104,536,uva
108,104,439,uva
109,104,1600,uva
110,104,12166,uva
111,104,804,uva
112,104,806,uva
113,104,127,uva
114,104,246,uva
115,104,10410,uva
116,104,810,uva
117,104,215,uva
118,104,12118,uva
