题目,AC人数
101,22
110,8
116,18
120,44
122,18
127,21
129,21
133,22
135,1
136,22
138,12
140,42
156,22
165,7
177,5
201,18
202,18
207,4
208,20
210,18
211,24
212,2
213,19
215,2
220,5
221,22
225,26
227,22
230,10
232,19
242,8
246,14
247,14
253,38
254,1
272,22
278,6
294,30
297,18
305,7
306,1
307,24
311,13
340,22
387,2
400,22
401,22
417,4
434,3
436,2
437,36
438,5
439,21
442,44
455,22
471,7
473,1
474,2
489,22
501,3
506,4
508,8
509,8
511,2
512,22
514,42
517,1
519,1
524,44
529,4
532,11
534,2
536,42
540,44
542,3
548,44
550,14
557,22
558,4
572,22
580,36
585,2
590,4
591,19
592,4
607,2
610,2
616,2
617,1
654,1
658,20
662,3
672,1
673,21
679,22
690,4
699,22
701,2
704,1
705,7
712,22
714,36
719,2
725,20
753,6
757,2
769,1
804,4
806,6
808,14
810,10
814,20
815,40
816,30
817,10
818,14
820,3
821,12
822,6
839,22
847,3
1001,3
1025,17
1030,9
1069,2
1073,3
1099,4
1103,11
1108,5
1121,9
1146,4
1149,17
1151,9
1152,20
1153,10
1160,14
1169,3
1175,1
1201,1
1203,15
1210,17
1213,11
1218,7
1220,11
1225,22
1232,3
1252,14
1262,15
1267,8
1291,1
1292,1
1301,1
1303,2
1312,6
1315,8
1319,3
1326,6
1328,6
1329,13
1330,9
1331,12
1335,10
1336,4
1339,44
1343,8
1344,5
1345,1
1346,10
1347,30
1350,2
1352,7
1354,14
1362,9
1363,14
1364,5
1366,1
1368,42
1374,26
1382,8
1386,2
1388,18
1391,1
1392,1
1393,10
1394,12
1395,28
1398,7
1400,5
1401,7
1407,1
1411,3
1414,2
1416,3
1418,4
1423,4
1424,2
1426,1
1427,1
1428,15
1434,2
1435,1
1438,1
1442,4
1445,2
1447,1
1449,2
1451,6
1452,2
1453,1
1455,1
1456,1
1471,12
1473,3
1474,1
1476,3
1482,9
1486,1
1493,1
1494,4
1508,1
1509,1
1510,1
1513,8
1515,2
1523,2
1524,3
1533,12
1543,2
1549,2
1554,1
1555,2
1557,1
1572,3
1583,22
1584,22
1585,22
1586,21
1587,20
1588,18
1589,16
1590,11
1591,4
1592,12
1593,15
1594,19
1595,17
1596,4
1597,3
1599,12
1600,18
1601,4
1602,1
1605,17
1606,3
1607,1
1608,4
1610,11
1611,4
1612,1
1614,6
1615,1
1617,1
1619,2
1625,5
1626,15
1627,2
1629,5
1630,5
1631,1
1632,3
1635,5
1636,17
1637,4
1638,10
1639,2
1640,4
1641,15
1642,3
1643,3
1644,19
1645,10
1646,4
1647,11
1648,1
1649,1
1650,1
1653,1
1658,3
1671,1
1683,1
10003,34
10012,9
10020,15
10026,15
10037,2
10047,11
10048,14
10054,12
10061,8
10075,1
10079,12
10081,2
10082,22
10110,18
10118,12
10120,1
10125,12
10127,9
10128,3
10129,20
10132,10
10140,1
10162,2
10163,14
10165,4
10213,11
10214,9
10236,1
10239,1
10245,10
10246,1
10253,2
10254,2
10256,4
10271,12
10273,3
10274,2
10285,19
10288,28
10294,2
10298,1
10304,4
10305,21
10317,2
10318,2
10340,44
10341,14
10347,4
10366,8
10369,5
10375,19
10382,17
10391,44
